overall,round,team,player,nat,pos,age,birthMonth,to,amateurTeam,amateurLeage,nhl_a,nhl_pts,nhl_plusMinus,nhl_pim,nhlG_g,nhlG_w,nhlG_l,nhlG_tiesOT,nhlG_saveP,nhlG_avgGoalsAgainst,pointShare
114,4,Columbus Blue Jackets,Mikael Pyyhtia,FI,LW,18,12,2025,TPS Jr. ,Finland Jr.,6,10,-18,8,,,,,,,-0.8
115,4,Carolina Hurricanes,Zion Nybeck,SE,LW,18,5,,HV71 Jr. ,Sweden Jr.,,,,,,,,,,,
116,4,Tampa Bay Lightning,Eamon Powell,US,D,18,5,,USA U-18 Development Team ,USDP/USHL,,,,,,,,,,,
117,4,Washington Capitals,Bogdan Trineyev,RU,RW,18,3,,MHK Dynamo Moskva ,Russia Jr.,,,,,,,,,,,
118,4,Colorado Avalanche,Colby Ambrosio,CA,C,18,8,,Tri-City Storm ,USHL,,,,,,,,,,,
119,4,St. Louis Blues,Tanner Dickinson,US,C,18,3,,Soo Greyhounds ,OHL,,,,,,,,,,,
120,4,New Jersey Devils,Ethan Edwards,CA,D,18,6,,Spruce Grove ,AJHL,,,,,,,,,,,
121,4,New York Islanders,Alex Jefferies,US,LW,18,11,,The Gunnery ,High-CT,,,,,,,,,,,
122,4,Toronto Maple Leafs,William Villeneuve,CA,D,18,3,,Saint John Sea Dogs ,QMJHL,,,,,,,,,,,
123,4,Dallas Stars,Antonio Stranges,US,LW,18,2,,London Knights ,OHL,,,,,,,,,,,
124,4,Montreal Canadiens,Sean Farrell,US,C,18,11,2023,Chicago Steel ,USHL,0,1,-2,0,,,,,,,0
125,5,Vegas Golden Knights,Jesper Vikman,SE,G,18,3,,AIK Jr. ,Sweden Jr.,,,,,,,,,,,
126,5,Edmonton Oilers,Tyler Tullio,US,RW,18,4,,Oshawa Generals ,OHL,,,,,,,,,,,
127,5,New York Rangers,Evan Vierling,CA,C,18,6,,Barrie Colts ,OHL,,,,,,,,,,,
128,5,Los Angeles Kings,Martin Chromiak,SK,RW,18,8,,Kingston Frontenacs ,OHL,,,,,,,,,,,
129,5,Anaheim Ducks,Artyom Galimov,RU,LW,21,9,,Ak Bars Kazan ,Russia,,,,,,,,,,,
